epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,4198.06,1.09281,0.46626,0.00156,0.7537,0.64139,0.69547,0.42669,1.24254,0.78516,0.00563,0.000615781,0.000615781,0.000615781
43,4297.85,1.11029,0.4688,0.00159,0.67624,0.65202,0.6634,0.4121,1.26533,0.85808,0.00565,0.000600313,0.000600313,0.000600313
44,4397.1,1.09693,0.46739,0.00168,0.79876,0.63101,0.68918,0.43997,1.23902,0.77458,0.00568,0.000584844,0.000584844,0.000584844
45,4497.33,1.09145,0.45428,0.00157,0.75949,0.69531,0.69863,0.44449,1.21354,0.80393,0.00531,0.000569375,0.000569375,0.000569375
46,4597.01,1.0823,0.45528,0.00157,0.8223,0.64118,0.71176,0.4543,1.2115,0.78236,0.00523,0.000553906,0.000553906,0.000553906
47,4697.37,1.07455,0.44932,0.00158,0.76685,0.66809,0.69382,0.42973,1.2363,0.78041,0.00563,0.000538438,0.000538438,0.000538438
48,4796.97,1.09751,0.45606,0.00159,0.73735,0.66139,0.70599,0.44331,1.21296,0.74739,0.00512,0.000522969,0.000522969,0.000522969
49,4896,1.08438,0.45241,0.00174,0.79677,0.661,0.7189,0.44976,1.22243,0.75313,0.00515,0.0005075,0.0005075,0.0005075
50,4995.59,1.07967,0.44839,0.00161,0.79296,0.68574,0.72554,0.45396,1.23538,0.72464,0.00522,0.000492031,0.000492031,0.000492031
51,5095.1,1.05718,0.42892,0.00152,0.78924,0.65048,0.69942,0.43761,1.21042,0.75993,0.00547,0.000476562,0.000476562,0.000476562
52,5194.73,1.05798,0.42199,0.00145,0.76914,0.67075,0.68131,0.43166,1.21624,0.76482,0.00518,0.000461094,0.000461094,0.000461094
53,5294.22,1.04389,0.41746,0.00144,0.73886,0.62457,0.66962,0.4132,1.20407,0.78807,0.00521,0.000445625,0.000445625,0.000445625
54,5394.1,1.04676,0.42659,0.00152,0.76069,0.69617,0.71842,0.44613,1.23575,0.74247,0.00531,0.000430156,0.000430156,0.000430156
